EPISODE	TIME_STEPS_TAKEN	TOTAL_REWARD
0	177	-128.677803792
1	123	-394.885164873
2	79	-284.985589852
3	138	-5.14001895619
4	114	-221.312708313
5	109	-168.845215919
6	90	-157.77579137
7	113	-161.061726501
8	116	-119.799988806
9	165	-210.953597815
10	171	-536.536671888
11	101	-112.80534891
12	78	-150.268168328
13	89	-148.33890283
14	163	-316.798307861
15	172	-222.080564289
16	95	-69.593544095
17	84	-46.2491465385
18	92	-139.483211968
19	166	-195.052725351
20	109	-79.0607781027
21	258	-290.012628813
22	133	-128.384390636
23	213	-137.117682565
24	207	-386.081976671
25	222	-115.109167192
26	160	-208.097726128
27	92	-116.428729244
28	193	-314.884784066
29	164	-113.605191627
30	122	-49.6304769225
31	146	-149.315970722
32	257	-179.674158265
33	151	-61.203979254
34	149	-93.2832273401
35	135	-65.3112817346
36	87	-120.587546094
37	214	-109.947166342
38	151	-109.043636477
39	107	-44.1459833795
40	97	-63.7504744643
41	472	-118.195870428
42	246	-165.810460761
43	191	-65.5073499271
44	164	-66.4169847982
45	104	-58.544081525
46	279	-401.563889875
47	432	-53.9277394844
48	283	-85.2682883221
49	343	-139.234310877
50	1000	-67.9135263261
51	453	-123.033040292
52	389	-97.2525531505
53	113	-234.180519003
54	542	-123.522104837
55	166	-28.9426063433
56	142	-65.2126405074
57	172	-76.2448339847
58	1000	-54.2146819857
59	134	-80.5120643077
60	164	-192.550680932
61	330	-141.701701016
62	168	-146.403692656
63	295	-176.896483824
64	200	-154.375258694
65	344	-54.5219252046
66	257	-158.632749716
67	140	-79.4391502753
68	248	5.25210262551
69	239	-113.391603055
70	138	-127.571072783
71	138	-80.1307012154
72	157	-75.508739012
73	151	-76.9174818444
74	1000	-89.9937318224
75	306	-280.260661643
76	94	-187.379728245
77	142	-77.8586150195
78	268	-160.161349937
79	93	-49.6484306306
80	434	-168.371588801
81	1000	-137.665904175
82	436	-205.142402572
83	124	-60.9723895716
84	450	-153.55608912
85	195	-234.535975755
86	878	-279.506314493
87	1000	-146.829449068
88	1000	-80.6931910734
89	102	-132.421898034
90	1000	-47.4024503639
91	1000	-111.715963491
92	1000	-148.016122723
93	1000	-57.581494203
94	649	-220.832661446
95	1000	-137.884770087
96	302	-185.53492614
97	1000	-84.2418001564
98	355	-166.727755229
99	120	-119.71082242
100	137	-189.572452786
101	184	-132.025458232
102	134	-62.8603959965
103	168	-133.578183046
104	1000	-94.1190783245
105	171	-189.846045133
106	456	-188.030105945
107	366	-140.61340982
108	1000	-28.6347578992
109	1000	-92.2916394273
110	408	-123.980756667
111	1000	-26.4049388019
112	383	-103.058947896
113	353	-145.418485424
114	1000	-34.9198104704
115	578	-188.06370943
116	1000	10.9272599607
117	708	-105.842409598
118	1000	-127.713341216
119	1000	-34.2545855459
120	1000	-34.7840264073
121	196	-37.5514918256
122	1000	-69.7922483818
123	484	-61.0759174706
124	719	-126.047823184
125	1000	-84.8683712067
126	208	22.2332112604
127	1000	-33.9189607068
128	1000	-78.5543593989
129	623	-129.449520707
130	1000	-101.461844294
131	1000	-60.3812034623
132	1000	-60.1900008369
133	1000	-2.64973660676
134	1000	-81.5295218096
135	1000	-63.1682183029
136	1000	-96.9946133774
137	703	-184.358913178
138	942	-168.346364736
139	1000	-38.4203138848
140	197	-19.0849016038
141	1000	-87.9205527425
142	1000	-73.2772782237
143	1000	-157.001409824
144	1000	-84.2423742557
145	1000	-62.7163235123
146	1000	-60.9608071587
147	1000	-88.0759518971
148	1000	-13.7448528467
149	560	-99.616760485
150	916	-141.744560503
151	1000	-61.291712923
152	1000	-72.2579155787
153	221	-47.5575430298
154	1000	-22.9228623692
155	1000	-61.1144158482
156	106	-24.2422946648
157	168	-105.613893241
158	1000	-61.5921350146
159	299	-98.7051629252
160	1000	-27.0618372051
161	1000	-7.19299514883
162	1000	-67.0836801782
163	298	-44.4779331416
164	1000	-25.7856408176
165	219	-24.7787383596
166	1000	-91.5110996375
167	1000	-90.8597538414
168	1000	-49.3075014485
169	1000	-67.2687269588
170	1000	-66.4507085694
171	1000	-51.6027184163
172	605	-302.664827539
173	182	-50.8138635521
174	164	-58.6538144427
175	1000	-43.0588610027
176	184	-13.1560225703
177	1000	-77.1437142383
178	1000	-11.1785372786
179	1000	-19.3346291496
180	1000	-116.611974413
181	260	-23.7708374123
182	255	-107.577236618
183	1000	-40.6768188826
184	1000	-37.4849111566
185	390	-127.247765613
186	1000	-103.992701052
187	502	-209.16640562
188	649	-254.865771005
189	1000	-106.035608652
190	493	-198.028033409
191	1000	-98.2262497017
192	1000	-42.1127654156
193	1000	-32.245406016
194	661	-278.779789164
195	1000	-98.6640247956
196	1000	-25.306946936
197	1000	-62.0922559177
198	1000	-65.1979680459
199	1000	-40.1853924988
200	1000	-55.3199996888
201	1000	-128.278186515
202	1000	-72.836299494
203	1000	-5.72938911883
204	532	-118.611662576
205	1000	-89.492511033
206	1000	-86.1917177295
207	1000	-58.9643629503
208	564	-144.510794323
209	1000	-44.0740656633
210	1000	-62.0688580826
211	486	-84.6434335501
212	1000	-42.8360616372
213	1000	-23.4146384616
214	1000	-40.0014677829
215	1000	1.36946982087
216	1000	-87.3669993765
217	1000	-22.2110922938
218	1000	-26.9496824779
219	1000	-35.7749421065
220	1000	-101.92409513
221	1000	-28.0738077999
222	296	10.0841447917
223	1000	-38.1601032244
224	1000	-77.5812710175
225	1000	-6.2029720839
226	1000	-31.8337085474
227	1000	-33.7465464165
228	1000	-53.0109480065
229	250	-10.0337937377
230	532	-226.076220721
231	1000	-113.117969097
232	1000	-25.8406510623
233	1000	-30.4386846896
234	1000	-7.81878988736
235	244	-29.2493719119
236	1000	7.79762960811
237	1000	-40.4195460687
238	1000	-57.8579308845
239	1000	-39.3299413102
240	1000	-42.2892813132
241	1000	-94.3928400467
242	1000	-28.9822801017
243	1000	-58.9254776352
244	194	-10.8816289696
245	1000	-38.4094292445
246	1000	-70.4230085133
247	215	-77.0729124793
248	1000	-39.1710381387
249	1000	-69.6247498182
250	1000	-65.3935377201
251	1000	-68.0522333704
252	1000	-93.2569388091
253	1000	-45.4698224396
254	670	-166.511174292
255	1000	-36.5908050648
256	1000	-70.7232650588
257	1000	-38.7086625749
258	1000	-95.6505878901
259	1000	-17.2179245902
260	1000	-24.664508481
261	1000	6.14377416982
262	1000	-34.3958171997
263	1000	-47.656640462
264	1000	-44.5312067787
265	1000	-57.2580091502
266	1000	-21.0582834716
267	1000	-76.6672611266
268	1000	-29.3933577588
269	1000	-15.2257524534
270	1000	-25.2427225084
271	1000	-56.4286486662
272	1000	-60.085182699
273	1000	-45.0060197633
274	1000	-69.5916128338
275	1000	-78.7243533803
276	1000	-43.119781323
277	1000	-8.09564000651
278	1000	5.97928485495
279	1000	-6.30529667827
280	1000	-34.5584265708
281	1000	-28.68855549
282	1000	-52.2255435827
283	1000	-13.9115703123
284	1000	-73.0175476804
285	1000	-77.2977308941
286	572	-317.036331274
287	1000	14.4575111699
288	1000	-41.7108623066
289	1000	-36.6884673134
290	1000	-65.6536167841
291	1000	15.4658971156
292	148	-37.7205144438
293	1000	-45.6275710666
294	1000	-55.1581474589
295	1000	26.9105578779
296	1000	5.08374756861
297	134	-42.6747812391
298	183	-66.8807291557
299	1000	-16.4906360897
300	188	-6.35381641734
301	191	-24.1293040774
302	1000	-37.3992681582
303	1000	34.7808730568
304	1000	-10.2515262878
305	1000	-6.29332129182
306	139	-76.3151809017
307	160	-58.2666091756
308	182	-29.3475542188
309	1000	0.774450407302
310	137	-34.9365001902
311	1000	22.5114582729
312	149	-10.880884113
313	1000	-30.494857643
314	151	-37.5052873916
315	145	-55.0295236223
316	1000	-70.6107559374
317	1000	-49.2964850677
318	1000	-41.4217367467
319	135	-17.1090698406
320	206	8.56933377494
321	1000	5.74771378009
322	1000	-63.0553596812
323	228	-57.0347382646
324	1000	-152.236155064
325	1000	-22.1349874044
326	1000	-62.3542296
327	1000	-18.2075594207
328	1000	7.74951284569
329	1000	-37.7956127657
330	212	-88.126712206
331	256	-108.991846311
332	1000	5.41305775057
333	391	-60.4207289835
334	1000	-20.5840371497
335	1000	-20.0994732199
336	1000	-2.68310366524
337	1000	-2.5381936826
338	314	-98.7674672075
339	1000	14.8422693272
340	1000	-46.4175746976
341	1000	-60.6421693315
342	1000	2.78332693687
343	1000	-67.9215174549
344	1000	-21.8043325208
345	1000	-122.215231311
346	1000	-137.805356862
347	1000	-48.7949500697
348	1000	-17.8294390168
349	1000	-113.068037231
350	1000	-142.223911263
351	1000	-94.0194320594
352	1000	-58.176941797
353	1000	8.82247283367
354	316	-86.8650457478
355	1000	-33.6669461954
356	1000	-34.1569139418
357	1000	8.40470915248
358	1000	-37.5603181882
359	1000	-99.2288569332
360	1000	6.50960742293
361	1000	-38.1735829141
362	1000	12.4091700161
363	1000	-19.1140195835
364	1000	-32.4178337463
365	1000	-19.0210567853
366	1000	5.6127799361
367	1000	41.1472632099
368	1000	-10.0069381376
369	230	-40.5924807213
370	1000	-73.6083955527
371	239	-89.0263397122
372	1000	23.7503072787
373	857	60.6530886054
374	277	-56.8166462621
375	1000	1.15440706664
376	1000	-52.8632800167
377	1000	-24.9675337251
378	1000	55.2289004208
379	1000	54.4510145649
380	1000	52.6288025942
381	985	160.213494872
382	1000	84.0880213413
383	322	-58.0592330046
384	939	-190.371794505
385	316	-64.0941306951
386	276	0.972104724634
387	380	232.366525901
388	442	131.345000123
389	634	140.17807563
390	538	-118.155570715
391	649	132.533740073
392	141	3.36096665818
393	757	110.369714339
394	1000	-80.7748615491
395	1000	-27.7461146318
396	1000	-41.1931840181
397	1000	-39.4305081403
398	1000	-46.7627572947
399	730	104.955745473
400	797	135.506700224
401	495	195.436606061
402	919	95.9270335397
403	1000	-19.7876234076
404	673	82.1021512172
405	498	-173.303843261
406	753	145.121017795
407	728	-130.519438193
408	939	108.685916233
409	402	-60.7036503309
410	966	108.561724544
411	838	67.2042358016
412	1000	-16.6461033184
413	327	-21.9072166345
414	919	-240.675456
415	1000	-100.215875779
416	1000	-63.0794407508
417	707	-92.3413449093
418	1000	-118.584902428
419	1000	-99.649703353
420	875	-223.074743299
421	1000	-119.523180894
422	739	181.672939122
423	353	225.333408141
424	406	-53.1782052667
425	1000	-132.183947414
426	1000	-129.45578726
427	703	136.938814301
428	424	-98.2478784307
429	401	189.204592416
430	573	-134.715591665
431	983	98.442849987
432	571	93.4838466768
433	1000	-68.3758314022
434	456	184.958978946
435	779	100.799853131
436	907	102.76714913
437	803	-235.770825459
438	611	118.016458966
439	586	146.775440922
440	917	-195.37049564
441	619	141.466050143
442	503	-80.3902961099
443	1000	-54.7222478609
444	1000	5.4485147507
445	596	108.54868624
446	342	196.625893979
447	913	95.1103143925
448	1000	-62.5474575601
449	1000	-16.7547951284
450	1000	-53.1732573796
451	672	167.047384821
452	1000	11.5488261997
453	1000	8.93037199799
454	1000	-24.340242969
455	1000	33.8032353937
456	1000	-49.6721940809
457	448	-67.1198480509
458	1000	20.4020337908
459	1000	67.9557756448
460	1000	39.2827839529
461	418	-87.8221893724
462	1000	38.2081318035
463	1000	81.6516898048
464	1000	67.0061917281
465	1000	48.9597967396
466	1000	29.8013929523
467	269	-9.65129915809
468	1000	60.9455806322
469	1000	41.7739685223
470	1000	72.4554000773
471	1000	36.0047707744
472	1000	2.96418420647
473	1000	80.2200861595
474	167	-30.854173264
475	259	-53.5561588957
476	1000	61.4177266548
477	1000	55.0695878677
478	1000	71.0519614089
479	1000	75.0907591531
480	1000	65.3727377611
481	1000	85.8024787512
482	1000	61.9873809376
483	1000	82.041143128
484	1000	114.062055529
485	142	-10.5980861474
486	240	-3.22160341909
487	1000	78.5702767509
488	1000	67.8815020214
489	1000	88.7662104231
490	1000	47.797509557
491	1000	66.528227711
492	1000	48.8542841884
493	1000	45.9404488217
494	1000	69.5428050233
495	354	181.397302282
496	219	-69.9846667199
497	284	-11.276418303
498	262	-102.621363864
499	308	214.965181494
500	1000	57.1724470381
501	580	105.70228628
502	264	-41.0335483838
503	173	-68.9794181613
504	295	157.465252023
505	356	82.8499101981
506	405	139.448105906
507	152	-142.165430113
508	428	160.574354276
509	207	-110.470676452
510	185	-71.8642915804
511	179	-138.896180685
512	221	-123.664162812
513	187	-49.6951117854
514	208	-85.9705947047
515	1000	3.7465199849
516	253	-110.368692368
517	193	-87.6681344244
518	190	-99.2057000925
519	198	-102.84957645
520	214	-116.422329997
521	223	-77.9099887865
522	165	-112.353677629
523	144	-137.429240186
524	453	105.007610128
525	130	-197.293955776
526	198	-107.249141815
527	163	-104.729894095
528	157	-161.271529261
529	248	157.849543655
530	134	-155.240441142
531	157	-296.122429244
532	263	141.73846456
533	432	-260.652528617
534	1000	-48.9770534261
535	401	-116.261793862
536	449	-74.4250057709
537	330	-128.586290755
538	896	89.0331682693
539	1000	-89.6802177217
540	241	-34.058967852
541	1000	-23.6890706518
542	1000	-70.0335273957
543	1000	-49.4827512801
544	1000	-42.6240083406
545	228	-238.245643991
